Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1690056060&sprefix=ba%2Caps%2C283&sr=8-1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),550,4.3,11825,"Amazon.in: Buy Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) online at low price in India on Amazon.in. Check out Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) reviews, ratings, features, specifications and more at Amazon.in",B084JGJ8PF,,Brand: Wesley
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690056060&sprefix=ba%2Caps%2C283&sr=8-5,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,749,4.1,1551,"Amazon.in: Buy Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue) online at low price in India on Amazon.in. Check out Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue) reviews, ratings, features, specifications and more at Amazon.in",B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,Brand: Wesley
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1690056065&sprefix=ba%2Caps%2C283&sr=8-32,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,6013,"Amazon.in: Buy ADISA Light Weight Laptop Backpack 32 Ltrs (BP005-NAV_Navy Blue) online at low price in India on Amazon.in. Check out ADISA Light Weight Laptop Backpack 32 Ltrs (BP005-NAV_Navy Blue) reviews, ratings, features, specifications and more at Amazon.in",B07F3X45WZ,,Visit the ADISA Store
https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-65,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)",1099,4.2,1405,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black) : Amazon.in: Fashion",B07YFNXC3H,,Visit the FATMUG Store
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-71,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,799,4.0,13536,"Buy Lunar's Comet Laptop Bag for Men, Navy Blue| 35L Water Resistant School Bags for Boys | Fits Upto 15.6"" Laptop|Stylish & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B07WNFN1XS,,Visit the Lunar's Store
https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGX84G/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-75,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",949,4.3,479,"Buy FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook (Grey) from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B094DGX84G,,Brand: FUR JADEN
https://www.amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B09VCQWRC4/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-80,"Fast Travel 45 Ltrs, 46 cms School Bag Class 5-12 Large 4 partition Laptop Collage Office Travel Backpack Unisex",692,4.1,945,"Buy Fast Travel 45 Ltrs, 46 Cms School Bag Class 5-12 Large 4 Partition Laptop Collage Office Travel Backpack Unisex (Navy Blue) from Casual Backpacks at Amazon.in. 30 days free exchange or return",B09VCQWRC4,"A Sporty Versatile School Laptop Collage Office Backpack From Fast Travel, Made Of Polyester. It Has a 3 opening Compartment & 2 For quick & easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 20 Cm.",Brand: Fast Travel
https://www.amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-79,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",649,3.8,5,"Buy TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN) from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B0C6HZDWRQ,,Visit the TRUE HUMAN Store
https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-78,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,4.2,207,Buy F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B097K6KD7W,F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.,Visit the F Gear Store
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-77,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9,9890,"Buy Lunar's Bingo Laptop Bag for Men, MBlue | 48 L Water Resistant Backpack for Men | Fits upto 15.6 In Laptop Notebook | Stylish & Durable | Laptop Bag for Office/School/Travel Backpack | 1 Yr Warranty from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B08YZ5XY31,,Visit the Lunar's Store
https://www.amazon.in/SFANE-Polyester-Shoulder-Separate-Compartment/dp/B08KG7J7L5/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-76,"SFANE Polyester Red Duffel Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoe Compartment (Black) (Red) Set Of 1",427,4.3,331,"Buy SFANE Polyester Red Duffel Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoe Compartment (Black) (Red) Set Of 1 from Sports Duffles at Amazon.in. 30 days free exchange or return",B08KG7J7L5,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Two big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",Visit the Sfane Store
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1690056078&sprefix=ba%2Caps%2C283&sr=8-74,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,499,3.8,35,Buy LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B0BS6YGKMC,,Brand: LOOKMUSTER
